order_id,user_id,order_date,product_id,product_category,product_name,quantity,price_per_unit,payment_method,order_status,total_order_value,running_total
1847,U113,2025-04-20,P611,Electronics,Bluetooth Headphones,5,12.76,PayPal,Cancelled,55205.36000000007,287.3
1673,U167,2025-04-19,P715,Electronics,USB-C Cable,2,12.79,Debit Card,Returned,55205.36000000007,300.09000000000003
1398,U175,2025-04-04,P476,Books,Data Engineering 101,4,12.96,PayPal,Delivered,55205.36000000007,313.05
1902,U144,2025-04-27,P315,Home Decor,Wall Art,4,13.15,Debit Card,Delivered,55205.36000000007,326.2
1955,U067,2025-04-12,P540,Electronics,Wireless Mouse,2,13.25,Debit Card,Processing,55205.36000000007,339.45
1323,U015,2025-04-08,P277,Kitchen,Microwave,3,13.33,PayPal,Processing,55205.36000000007,352.78
1921,U081,2025-04-09,P559,Kitchen,Blender,3,13.33,Debit Card,Cancelled,55205.36000000007,366.10999999999996
1277,U134,2025-04-14,P523,Fashion,T-Shirt,1,13.34,UPI,Returned,55205.36000000007,379.44999999999993
1565,U009,2025-04-18,P525,Fashion,Sneakers,2,13.35,Credit Card,Cancelled,55205.36000000007,392.79999999999995
1017,U021,2025-04-26,P728,Books,Big Data Explained,5,13.42,PayPal,Delivered,55205.36000000007,406.21999999999997
1540,U007,2025-04-22,P376,Home Decor,Lamp,5,13.67,Debit Card,Processing,55205.36000000007,419.89
1852,U024,2025-04-17,P233,Home Decor,Wall Art,5,13.7,UPI,Cancelled,55205.36000000007,433.59
1156,U159,2025-04-06,P999,Books,Spark for Dummies,2,13.86,Credit Card,Returned,55205.36000000007,447.45
1273,U158,2025-04-28,P345,Books,Spark for Dummies,3,14.04,PayPal,Cancelled,55205.36000000007,461.49
1436,U084,2025-04-16,P276,Kitchen,Blender,2,14.29,UPI,Cancelled,55205.36000000007,475.78000000000003
1242,U170,2025-05-01,P308,Kitchen,Blender,2,14.34,PayPal,Processing,55205.36000000007,490.12
1842,U079,2025-04-20,P657,Kitchen,Blender,3,14.41,Credit Card,Delivered,55205.36000000007,504.53000000000003
1228,U071,2025-04-08,P760,Kitchen,Knife Set,3,14.47,UPI,Delivered,55205.36000000007,519
1714,U115,2025-04-05,P501,Home Decor,Wall Clock,5,14.84,UPI,Returned,55205.36000000007,533.84
1945,U047,2025-04-19,P383,Books,Clean Code,1,14.91,Debit Card,Cancelled,55205.36000000007,548.75
1523,U167,2025-05-03,P766,Kitchen,Microwave,3,14.96,Credit Card,Cancelled,55205.36000000007,563.71
1257,U020,2025-04-26,P507,Electronics,Power Bank,5,15.04,Credit Card,Cancelled,55205.36000000007,578.75
1840,U196,2025-04-07,P399,Fashion,Jacket,1,15.11,Debit Card,Delivered,55205.36000000007,593.86
1358,U115,2025-04-19,P608,Home Decor,Wall Art,5,15.18,UPI,Delivered,55205.36000000007,609.04
1426,U009,2025-04-26,P636,Books,AI Revolution,1,15.23,PayPal,Cancelled,55205.36000000007,624.27
1693,U056,2025-05-03,P806,Fashion,Sunglasses,3,15.47,UPI,Processing,55205.36000000007,639.74
1635,U111,2025-04-19,P393,Home Decor,Cushion Cover,5,15.64,Credit Card,Delivered,55205.36000000007,655.38
1978,U139,2025-04-25,P511,Electronics,Smartwatch,3,15.79,Credit Card,Delivered,55205.36000000007,671.17
1611,U007,2025-04-12,P962,Electronics,Bluetooth Headphones,2,15.88,Debit Card,Delivered,55205.36000000007,687.05
1202,U013,2025-05-02,P173,Kitchen,Toaster,4,16.06,PayPal,Cancelled,55205.36000000007,703.1099999999999
1439,U150,2025-04-21,P302,Kitchen,Cutting Board,1,16.09,UPI,Processing,55205.36000000007,719.1999999999999
1638,U075,2025-04-14,P335,Kitchen,Knife Set,2,16.14,PayPal,Delivered,55205.36000000007,735.3399999999999
1885,U021,2025-04-06,P972,Fashion,Jacket,4,16.23,Debit Card,Returned,55205.36000000007,751.5699999999999
1975,U012,2025-04-23,P824,Fashion,Sneakers,3,16.31,Debit Card,Cancelled,55205.36000000007,767.8799999999999
1509,U193,2025-04-07,P295,Kitchen,Cutting Board,5,16.34,Credit Card,Delivered,55205.36000000007,784.2199999999999
1271,U167,2025-04-20,P755,Electronics,Bluetooth Headphones,2,16.54,UPI,Returned,55205.36000000007,800.7599999999999
1115,U024,2025-04-16,P133,Books,Big Data Explained,3,16.55,Credit Card,Delivered,55205.36000000007,817.3099999999998
1037,U144,2025-04-24,P840,Kitchen,Cutting Board,5,16.59,PayPal,Returned,55205.36000000007,833.8999999999999
1290,U021,2025-04-11,P745,Kitchen,Cutting Board,3,16.66,PayPal,Cancelled,55205.36000000007,850.5599999999998
1389,U023,2025-04-28,P718,Books,AI Revolution,3,16.79,UPI,Returned,55205.36000000007,867.3499999999998
1025,U042,2025-04-23,P311,Kitchen,Cutting Board,4,16.8,Debit Card,Returned,55205.36000000007,884.1499999999997
1125,U151,2025-04-16,P387,Electronics,USB-C Cable,1,16.98,PayPal,Returned,55205.36000000007,901.1299999999998
1120,U135,2025-04-20,P710,Books,Data Engineering 101,2,17.02,Debit Card,Cancelled,55205.36000000007,918.1499999999997
1093,U053,2025-04-29,P397,Kitchen,Toaster,2,17.21,UPI,Cancelled,55205.36000000007,935.3599999999998
1036,U171,2025-05-02,P585,Home Decor,Cushion Cover,2,17.22,Credit Card,Processing,55205.36000000007,952.5799999999998
1874,U081,2025-04-12,P727,Books,AI Revolution,2,17.27,Credit Card,Returned,55205.36000000007,969.8499999999998
1904,U160,2025-05-03,P848,Kitchen,Toaster,5,17.51,Credit Card,Cancelled,55205.36000000007,987.3599999999998
1856,U187,2025-04-29,P254,Books,Big Data Explained,3,17.61,UPI,Delivered,55205.36000000007,1004.9699999999998
1567,U089,2025-04-28,P679,Kitchen,Blender,3,17.71,UPI,Processing,55205.36000000007,1022.6799999999998
1351,U067,2025-04-15,P555,Kitchen,Cutting Board,3,17.88,Credit Card,Cancelled,55205.36000000007,1040.56
1877,U010,2025-04-14,P626,Home Decor,Cushion Cover,3,17.91,Debit Card,Cancelled,55205.36000000007,1058.47
1619,U021,2025-04-20,P274,Books,AI Revolution,1,17.98,Credit Card,Returned,55205.36000000007,1076.45
1468,U050,2025-04-08,P642,Books,Clean Code,3,18.02,UPI,Processing,55205.36000000007,1094.47
1346,U061,2025-04-28,P236,Kitchen,Toaster,4,18.07,Credit Card,Returned,55205.36000000007,1112.54
1778,U069,2025-04-04,P325,Fashion,T-Shirt,2,18.34,Debit Card,Processing,55205.36000000007,1130.8799999999999
1473,U150,2025-04-14,P738,Electronics,Wireless Mouse,4,18.37,UPI,Cancelled,55205.36000000007,1149.2499999999998
1367,U014,2025-04-15,P935,Electronics,Wireless Mouse,3,18.43,Credit Card,Cancelled,55205.36000000007,1167.6799999999998
1676,U039,2025-05-03,P831,Fashion,Sunglasses,4,18.52,Credit Card,Cancelled,55205.36000000007,1186.1999999999998
1018,U067,2025-04-15,P650,Electronics,Wireless Mouse,2,18.72,Debit Card,Processing,55205.36000000007,1204.9199999999998
1865,U119,2025-04-26,P270,Fashion,T-Shirt,5,18.73,Debit Card,Processing,55205.36000000007,1223.6499999999999
1011,U168,2025-05-02,P706,Electronics,USB-C Cable,4,18.79,PayPal,Processing,55205.36000000007,1242.4399999999998
1456,U162,2025-04-06,P349,Kitchen,Cutting Board,2,18.85,Credit Card,Processing,55205.36000000007,1261.2899999999997
1121,U188,2025-04-26,P206,Electronics,USB-C Cable,2,18.86,PayPal,Processing,55205.36000000007,1280.1499999999996
1097,U061,2025-04-18,P271,Kitchen,Microwave,1,18.93,UPI,Cancelled,55205.36000000007,1299.0799999999997
1839,U081,2025-04-05,P915,Home Decor,Cushion Cover,1,19.06,UPI,Returned,55205.36000000007,1318.1399999999996
1646,U034,2025-04-08,P438,Fashion,T-Shirt,1,19.2,Debit Card,Returned,55205.36000000007,1337.3399999999997
1570,U150,2025-04-29,P857,Books,Spark for Dummies,1,19.25,Credit Card,Delivered,55205.36000000007,1356.5899999999997
1625,U195,2025-04-20,P258,Kitchen,Blender,1,19.28,UPI,Processing,55205.36000000007,1375.8699999999997
1717,U159,2025-04-26,P144,Books,Clean Code,1,19.35,Debit Card,Delivered,55205.36000000007,1395.2199999999996
1596,U041,2025-04-11,P899,Kitchen,Blender,5,19.37,Credit Card,Processing,55205.36000000007,1414.5899999999995
1339,U009,2025-05-01,P331,Electronics,Smartwatch,1,19.38,Debit Card,Processing,55205.36000000007,1433.9699999999996
1250,U084,2025-04-24,P689,Kitchen,Toaster,4,19.42,UPI,Returned,55205.36000000007,1453.3899999999996
1671,U144,2025-04-22,P922,Books,Data Engineering 101,1,19.58,Debit Card,Processing,55205.36000000007,1472.9699999999996
1836,U137,2025-04-27,P868,Kitchen,Toaster,5,19.62,UPI,Processing,55205.36000000007,1492.5899999999995
1129,U033,2025-04-22,P748,Electronics,Bluetooth Headphones,2,19.72,Credit Card,Processing,55205.36000000007,1512.3099999999995
1343,U113,2025-04-20,P574,Electronics,Bluetooth Headphones,4,19.86,Credit Card,Delivered,55205.36000000007,1532.1699999999994
1066,U128,2025-04-15,P639,Home Decor,Cushion Cover,4,20.13,Credit Card,Delivered,55205.36000000007,1552.2999999999995
1283,U174,2025-04-21,P592,Home Decor,Wall Clock,4,20.15,PayPal,Delivered,55205.36000000007,1572.4499999999996
1203,U136,2025-04-04,P284,Fashion,T-Shirt,4,20.19,PayPal,Cancelled,55205.36000000007,1592.6399999999996
1925,U100,2025-04-11,P887,Home Decor,Wall Art,1,20.2,PayPal,Returned,55205.36000000007,1612.8399999999997
1883,U012,2025-04-29,P649,Books,Big Data Explained,1,20.3,Debit Card,Returned,55205.36000000007,1633.1399999999996
1662,U020,2025-04-15,P359,Electronics,Power Bank,2,20.43,Credit Card,Returned,55205.36000000007,1653.5699999999997
1861,U039,2025-04-17,P872,Kitchen,Cutting Board,2,20.45,PayPal,Delivered,55205.36000000007,1674.0199999999998
1191,U159,2025-05-01,P146,Electronics,Smartwatch,1,20.61,Credit Card,Processing,55205.36000000007,1694.6299999999997
1499,U123,2025-04-25,P408,Fashion,Sunglasses,4,20.67,UPI,Delivered,55205.36000000007,1715.2999999999997
1452,U127,2025-04-14,P126,Home Decor,Cushion Cover,5,20.72,Debit Card,Delivered,55205.36000000007,1736.0199999999998
1406,U180,2025-05-01,P831,Electronics,Wireless Mouse,4,20.82,PayPal,Cancelled,55205.36000000007,1756.8399999999997
1442,U180,2025-04-12,P449,Fashion,Sneakers,5,20.93,PayPal,Cancelled,55205.36000000007,1777.7699999999998
1559,U147,2025-04-06,P343,Kitchen,Toaster,1,21.69,PayPal,Returned,55205.36000000007,1799.4599999999998
1970,U167,2025-04-19,P700,Home Decor,Wall Art,4,21.86,UPI,Cancelled,55205.36000000007,1821.3199999999997
1532,U174,2025-04-14,P567,Electronics,USB-C Cable,3,21.96,PayPal,Delivered,55205.36000000007,1843.2799999999997
1626,U172,2025-04-07,P687,Home Decor,Wall Art,2,22.15,Credit Card,Delivered,55205.36000000007,1865.4299999999998
1383,U181,2025-04-22,P187,Kitchen,Cutting Board,5,22.18,PayPal,Processing,55205.36000000007,1887.61
1756,U048,2025-04-09,P252,Electronics,Bluetooth Headphones,2,22.19,Debit Card,Delivered,55205.36000000007,1909.8
1229,U086,2025-04-25,P933,Electronics,USB-C Cable,4,22.25,Debit Card,Returned,55205.36000000007,1932.05
1135,U063,2025-04-29,P497,Fashion,Jacket,2,22.28,PayPal,Cancelled,55205.36000000007,1954.33
1360,U153,2025-04-21,P367,Kitchen,Blender,5,22.28,Credit Card,Returned,55205.36000000007,1976.61
1604,U189,2025-04-05,P134,Home Decor,Wall Art,1,22.33,PayPal,Delivered,55205.36000000007,1998.9399999999998
1435,U083,2025-04-04,P275,Kitchen,Cutting Board,5,22.46,Debit Card,Returned,55205.36000000007,2021.3999999999999
1589,U078,2025-04-07,P575,Kitchen,Microwave,1,22.93,UPI,Processing,55205.36000000007,2044.33
1364,U064,2025-04-13,P105,Books,Spark for Dummies,2,22.95,UPI,Returned,55205.36000000007,2067.2799999999997
1563,U070,2025-04-11,P214,Electronics,USB-C Cable,1,22.95,PayPal,Processing,55205.36000000007,2090.2299999999996
1709,U026,2025-04-19,P467,Fashion,Jacket,2,22.99,PayPal,Delivered,55205.36000000007,2113.2199999999993
1905,U053,2025-04-06,P833,Books,AI Revolution,2,23.11,UPI,Processing,55205.36000000007,2136.3299999999995
1894,U007,2025-04-23,P613,Home Decor,Cushion Cover,4,23.24,PayPal,Returned,55205.36000000007,2159.5699999999993
1621,U179,2025-04-22,P827,Kitchen,Microwave,5,23.29,UPI,Delivered,55205.36000000007,2182.859999999999
1981,U134,2025-04-06,P237,Electronics,Wireless Mouse,5,23.42,UPI,Delivered,55205.36000000007,2206.2799999999993
1539,U043,2025-04-14,P820,Books,AI Revolution,4,23.49,PayPal,Processing,55205.36000000007,2229.769999999999
1045,U089,2025-04-05,P704,Fashion,Jeans,4,23.51,UPI,Cancelled,55205.36000000007,2253.2799999999993
1648,U064,2025-04-30,P716,Electronics,Bluetooth Headphones,5,23.73,UPI,Cancelled,55205.36000000007,2277.0099999999993
1427,U075,2025-04-05,P603,Kitchen,Blender,5,23.77,Debit Card,Delivered,55205.36000000007,2300.7799999999993
1653,U050,2025-05-02,P934,Electronics,Bluetooth Headphones,5,23.82,UPI,Cancelled,55205.36000000007,2324.5999999999995
1783,U057,2025-04-05,P351,Kitchen,Blender,1,23.89,Credit Card,Delivered,55205.36000000007,2348.4899999999993
1822,U156,2025-04-17,P342,Electronics,Power Bank,2,23.89,PayPal,Cancelled,55205.36000000007,2372.379999999999
1736,U017,2025-04-10,P707,Kitchen,Microwave,1,23.96,UPI,Returned,55205.36000000007,2396.3399999999992
1707,U072,2025-04-16,P621,Electronics,Power Bank,1,24.21,UPI,Cancelled,55205.36000000007,2420.5499999999993
1614,U089,2025-04-24,P579,Books,Big Data Explained,4,24.25,UPI,Returned,55205.36000000007,2444.7999999999993
1708,U039,2025-04-26,P445,Fashion,Sneakers,5,24.28,Credit Card,Cancelled,55205.36000000007,2469.0799999999995
1069,U178,2025-05-02,P408,Kitchen,Toaster,4,24.35,PayPal,Returned,55205.36000000007,2493.4299999999994
1760,U094,2025-04-22,P202,Fashion,Sneakers,3,24.41,PayPal,Returned,55205.36000000007,2517.8399999999992
1911,U047,2025-04-24,P655,Home Decor,Cushion Cover,2,24.55,Debit Card,Returned,55205.36000000007,2542.3899999999994
1022,U027,2025-04-28,P269,Books,AI Revolution,5,24.58,UPI,Delivered,55205.36000000007,2566.9699999999993
1889,U029,2025-04-14,P614,Books,Big Data Explained,1,24.76,PayPal,Returned,55205.36000000007,2591.7299999999996
1529,U074,2025-04-15,P810,Fashion,Jeans,1,24.77,PayPal,Delivered,55205.36000000007,2616.4999999999995
1726,U018,2025-04-19,P496,Electronics,Smartwatch,1,24.77,Credit Card,Processing,55205.36000000007,2641.2699999999995
1989,U077,2025-04-18,P125,Fashion,Jacket,3,24.82,UPI,Processing,55205.36000000007,2666.0899999999997
1048,U043,2025-04-17,P807,Books,Big Data Explained,2,24.86,Credit Card,Returned,55205.36000000007,2690.95
1501,U099,2025-04-08,P856,Electronics,Smartwatch,1,24.95,Credit Card,Cancelled,55205.36000000007,2715.8999999999996
1220,U139,2025-04-06,P130,Kitchen,Toaster,4,25.09,UPI,Processing,55205.36000000007,2740.99
1668,U018,2025-04-06,P448,Electronics,Wireless Mouse,4,25.13,Debit Card,Cancelled,55205.36000000007,2766.12
1195,U031,2025-04-29,P338,Fashion,Sneakers,2,25.19,PayPal,Returned,55205.36000000007,2791.31
1531,U024,2025-04-20,P234,Books,Spark for Dummies,5,25.25,UPI,Cancelled,55205.36000000007,2816.56
1399,U006,2025-04-06,P995,Kitchen,Microwave,3,25.55,Credit Card,Returned,55205.36000000007,2842.11
1217,U040,2025-04-23,P282,Fashion,T-Shirt,3,25.64,PayPal,Processing,55205.36000000007,2867.75
1089,U172,2025-04-11,P661,Fashion,T-Shirt,5,25.65,Credit Card,Delivered,55205.36000000007,2893.4
1900,U129,2025-04-04,P464,Home Decor,Photo Frame,1,25.7,PayPal,Delivered,55205.36000000007,2919.1
1419,U163,2025-04-07,P940,Kitchen,Toaster,1,25.73,Credit Card,Returned,55205.36000000007,2944.83
1324,U029,2025-04-24,P972,Electronics,Bluetooth Headphones,3,25.8,PayPal,Returned,55205.36000000007,2970.63
1345,U037,2025-04-12,P176,Electronics,Wireless Mouse,1,25.85,PayPal,Processing,55205.36000000007,2996.48
1729,U049,2025-04-21,P460,Books,Clean Code,2,25.85,UPI,Delivered,55205.36000000007,3022.33
1656,U017,2025-04-08,P673,Fashion,Sneakers,2,25.97,PayPal,Processing,55205.36000000007,3048.2999999999997
1631,U098,2025-04-23,P268,Electronics,Bluetooth Headphones,3,26.07,UPI,Cancelled,55205.36000000007,3074.37
1060,U166,2025-04-30,P806,Fashion,Jacket,3,26.2,Debit Card,Processing,55205.36000000007,3100.5699999999997
1494,U001,2025-04-11,P735,Fashion,Sneakers,3,26.31,Debit Card,Processing,55205.36000000007,3126.8799999999997
1446,U161,2025-05-02,P364,Books,AI Revolution,3,26.58,PayPal,Processing,55205.36000000007,3153.4599999999996
1982,U163,2025-05-01,P314,Books,Data Engineering 101,5,26.71,Credit Card,Cancelled,55205.36000000007,3180.1699999999996
1849,U101,2025-05-02,P218,Fashion,Jeans,1,26.78,UPI,Processing,55205.36000000007,3206.95
1860,U027,2025-04-22,P179,Home Decor,Photo Frame,1,26.78,Debit Card,Returned,55205.36000000007,3233.73
1205,U111,2025-04-08,P273,Fashion,Jeans,4,26.81,Debit Card,Returned,55205.36000000007,3260.54
1511,U160,2025-04-29,P786,Electronics,Wireless Mouse,3,26.9,UPI,Delivered,55205.36000000007,3287.44
1703,U087,2025-04-04,P696,Electronics,USB-C Cable,5,26.9,Credit Card,Cancelled,55205.36000000007,3314.34
1306,U095,2025-05-01,P472,Electronics,Bluetooth Headphones,1,26.99,UPI,Cancelled,55205.36000000007,3341.33
1043,U061,2025-04-17,P371,Books,Big Data Explained,1,27.32,UPI,Returned,55205.36000000007,3368.65
1566,U068,2025-04-07,P122,Books,Spark for Dummies,3,27.4,UPI,Returned,55205.36000000007,3396.05
1674,U188,2025-05-02,P907,Home Decor,Cushion Cover,1,27.48,UPI,Processing,55205.36000000007,3423.53
1598,U033,2025-04-14,P415,Fashion,Jacket,1,27.5,Debit Card,Delivered,55205.36000000007,3451.03
1657,U157,2025-04-30,P845,Books,Spark for Dummies,3,27.75,PayPal,Cancelled,55205.36000000007,3478.78
1588,U010,2025-04-13,P683,Fashion,Jeans,3,27.77,Debit Card,Delivered,55205.36000000007,3506.55
1344,U148,2025-04-26,P545,Fashion,Jeans,5,27.79,Credit Card,Cancelled,55205.36000000007,3534.34
1551,U118,2025-05-01,P207,Fashion,Jacket,3,27.84,PayPal,Cancelled,55205.36000000007,3562.1800000000003
1111,U144,2025-04-05,P491,Fashion,T-Shirt,4,27.96,UPI,Cancelled,55205.36000000007,3590.1400000000003
1585,U032,2025-04-28,P618,Books,Data Engineering 101,4,28.02,Debit Card,Processing,55205.36000000007,3618.1600000000003
1998,U193,2025-04-17,P651,Books,Clean Code,1,28.02,Credit Card,Processing,55205.36000000007,3646.1800000000003
1557,U120,2025-04-29,P110,Electronics,Power Bank,3,28.14,UPI,Cancelled,55205.36000000007,3674.32
1844,U073,2025-04-22,P518,Kitchen,Microwave,5,28.25,Credit Card,Delivered,55205.36000000007,3702.57
1134,U056,2025-05-02,P392,Kitchen,Blender,2,28.35,Credit Card,Returned,55205.36000000007,3730.92
1255,U173,2025-04-30,P796,Electronics,USB-C Cable,1,28.9,UPI,Processing,55205.36000000007,3759.82
1206,U164,2025-04-23,P798,Home Decor,Wall Art,5,28.92,PayPal,Returned,55205.36000000007,3788.7400000000002
1716,U001,2025-04-27,P390,Fashion,Sunglasses,3,29.09,Credit Card,Processing,55205.36000000007,3817.8300000000004
1929,U125,2025-04-07,P458,Home Decor,Photo Frame,5,29.19,PayPal,Returned,55205.36000000007,3847.0200000000004
1108,U145,2025-04-17,P265,Kitchen,Cutting Board,2,29.26,Credit Card,Delivered,55205.36000000007,3876.2800000000007
1027,U002,2025-04-21,P756,Electronics,Smartwatch,4,29.27,UPI,Cancelled,55205.36000000007,3905.5500000000006
1030,U040,2025-04-23,P106,Electronics,Smartwatch,4,29.31,PayPal,Returned,55205.36000000007,3934.8600000000006
1449,U144,2025-04-17,P740,Kitchen,Cutting Board,4,29.31,PayPal,Delivered,55205.36000000007,3964.1700000000005
1080,U019,2025-04-24,P377,Kitchen,Toaster,4,29.61,Credit Card,Returned,55205.36000000007,3993.7800000000007
1659,U067,2025-04-16,P992,Home Decor,Wall Clock,4,29.74,UPI,Processing,55205.36000000007,4023.5200000000004
1032,U090,2025-04-11,P895,Kitchen,Cutting Board,2,29.79,Credit Card,Cancelled,55205.36000000007,4053.3100000000004
1167,U173,2025-04-12,P377,Books,Data Engineering 101,1,29.93,UPI,Processing,55205.36000000007,4083.2400000000002
1942,U004,2025-04-10,P202,Home Decor,Wall Art,1,29.94,Debit Card,Returned,55205.36000000007,4113.18
1796,U165,2025-04-29,P874,Home Decor,Photo Frame,1,30.15,UPI,Processing,55205.36000000007,4143.33
1368,U128,2025-04-12,P815,Electronics,Power Bank,4,30.17,Credit Card,Delivered,55205.36000000007,4173.5
1515,U137,2025-04-09,P426,Electronics,Smartwatch,2,30.27,Debit Card,Cancelled,55205.36000000007,4203.77
1359,U093,2025-04-18,P286,Electronics,USB-C Cable,3,30.28,Debit Card,Returned,55205.36000000007,4234.05
1664,U121,2025-04-11,P736,Home Decor,Wall Art,3,30.3,PayPal,Delivered,55205.36000000007,4264.35
1068,U039,2025-04-17,P800,Electronics,Bluetooth Headphones,5,30.6,Debit Card,Processing,55205.36000000007,4294.950000000001
1193,U184,2025-04-14,P364,Electronics,Wireless Mouse,4,30.62,Credit Card,Delivered,55205.36000000007,4325.570000000001
1490,U140,2025-05-02,P368,Books,AI Revolution,4,30.63,PayPal,Processing,55205.36000000007,4356.200000000001
1791,U140,2025-04-17,P197,Kitchen,Microwave,3,30.72,UPI,Returned,55205.36000000007,4386.920000000001
1154,U149,2025-04-14,P168,Fashion,Jacket,2,30.78,Credit Card,Returned,55205.36000000007,4417.700000000001
1361,U190,2025-04-15,P935,Books,Spark for Dummies,1,30.78,PayPal,Delivered,55205.36000000007,4448.4800000000005
1497,U051,2025-05-02,P325,Fashion,Sneakers,4,30.92,PayPal,Delivered,55205.36000000007,4479.400000000001
1010,U186,2025-04-29,P354,Kitchen,Microwave,1,30.95,Credit Card,Processing,55205.36000000007,4510.35
1612,U177,2025-04-21,P750,Books,Spark for Dummies,2,30.97,Debit Card,Cancelled,55205.36000000007,4541.320000000001
1600,U125,2025-05-01,P999,Home Decor,Wall Art,4,30.98,Credit Card,Delivered,55205.36000000007,4572.3
1374,U161,2025-04-07,P552,Kitchen,Blender,5,31.01,Debit Card,Cancelled,55205.36000000007,4603.31
1644,U149,2025-05-01,P276,Electronics,USB-C Cable,4,31.1,PayPal,Cancelled,55205.36000000007,4634.410000000001
1302,U117,2025-04-20,P372,Kitchen,Toaster,1,31.19,Debit Card,Delivered,55205.36000000007,4665.6
1776,U194,2025-04-11,P939,Home Decor,Cushion Cover,5,31.23,Credit Card,Returned,55205.36000000007,4696.83
1560,U115,2025-04-06,P859,Home Decor,Wall Clock,3,31.24,Credit Card,Cancelled,55205.36000000007,4728.07
1297,U136,2025-04-09,P804,Kitchen,Blender,4,31.25,UPI,Processing,55205.36000000007,4759.32
1197,U048,2025-04-13,P682,Electronics,Power Bank,1,31.27,UPI,Cancelled,55205.36000000007,4790.59
1992,U040,2025-04-21,P969,Kitchen,Blender,1,31.28,Debit Card,Processing,55205.36000000007,4821.87
1507,U062,2025-05-03,P625,Electronics,Wireless Mouse,4,31.35,UPI,Delivered,55205.36000000007,4853.22
1287,U200,2025-04-22,P695,Books,Spark for Dummies,3,31.51,Credit Card,Delivered,55205.36000000007,4884.7300000000005
1188,U054,2025-04-14,P225,Electronics,Power Bank,5,31.58,Credit Card,Delivered,55205.36000000007,4916.31
1230,U024,2025-04-29,P342,Books,Clean Code,1,31.58,Credit Card,Returned,55205.36000000007,4947.89
1652,U187,2025-04-05,P149,Electronics,Smartwatch,4,31.69,Debit Card,Returned,55205.36000000007,4979.58
1825,U047,2025-04-13,P727,Home Decor,Photo Frame,1,31.86,Debit Card,Delivered,55205.36000000007,5011.44
1100,U039,2025-04-28,P739,Electronics,Bluetooth Headphones,5,31.91,Credit Card,Processing,55205.36000000007,5043.349999999999
1334,U133,2025-04-20,P140,Books,Clean Code,4,31.96,PayPal,Processing,55205.36000000007,5075.3099999999995
1307,U014,2025-04-29,P898,Electronics,Smartwatch,4,32.03,Debit Card,Cancelled,55205.36000000007,5107.339999999999
1723,U020,2025-05-01,P398,Electronics,Bluetooth Headphones,4,32.05,Credit Card,Cancelled,55205.36000000007,5139.389999999999
